C1_skew,C4_skew,T3_skew,T4_skew,T5_skew,S1_skew,S2_skew,S3_skew,C5_skew,C6_skew,Imputed_C7_skew,C3_,Imputed_C2,I3_bins_new,Y1,Y2
0.29886880815376005,0.8126734795718454,0.8802382658233845,0.5581372495339131,0.5257108319110799,0.3111410209666509,0.3326129442665795,0.3534475929503337,0.32436371043707457,0.9811622725466633,0.03926553470074251,1,1.0,2,0,1
0.4704690677898447,0.46139867715427685,0.7062969402763565,0.5705968227086903,0.4549286415786579,0.17986911443450954,0.3854851616413768,0.3507944824379471,0.5097564433399975,-0.0,0.02073371147725164,0,0.0,2,1,0
0.2359681209459681,0.7394873775984897,0.8886946937917164,0.5477589686603928,0.7074775815210111,0.5545172138326498,0.2280195174548274,0.3767471134227265,0.29211292978120657,-0.0,0.006059938144266952,0,1.0,2,1,0
0.421064032663947,0.7335170474561775,1.0307140090306628,0.27313732728231216,0.7042933093511959,0.5545172138326498,0.26280291481977386,0.46370337488590435,0.2873577135935305,-0.0,0.006997391886717465,0,1.0,2,1,1
0.21347706698629768,0.3024041041902606,0.5446536240018368,0.40696608696816167,0.38334132899566503,0.285020441875847,0.3573598185624668,0.3698695327377571,0.31565358814826383,0.9770748411697586,0.22218730812060894,1,1.0,1,0,1
0.2445529483329486,0.14942165902234997,0.0,0.5659419072973921,0.29966406151736064,0.1968753631798904,0.18638950523436668,0.3084403676197064,0.4242101111540211,-0.0,0.11903356184857013,1,1.0,3,0,1
0.3093361470166985,0.5998436758678245,0.4997871217580578,0.9253050677260203,0.2741395671219288,0.33402699225270405,0.2466131506192979,0.2244199202533714,0.2984530513726576,-0.0,0.004225711484919568,0,1.0,2,1,1
0.23813559991141905,0.9169420944300037,0.6584161016016323,1.075487590467723,0.677443711274841,0.31290089654101466,0.37477327862307785,0.35039692152537855,0.22154728054673264,-0.0,0.20271609426976683,0,0.0,2,1,0
0.25701668918072,0.34231452284675473,0.8800128328630717,0.2750485121447372,0.7108417132959446,0.23746094918103233,0.30631877266533747,0.5618064078346136,0.37918913105142865,-0.0,0.14954115873387247,0,1.0,3,1,1
0.26900855280187713,0.37434827435430945,0.5310373494642776,0.2031302426408573,0.4262902596034104,0.5308670568379665,0.3518858302762623,0.5726405864059357,0.270224042412955,-0.0,0.20158174228717302,1,1.0,2,1,0
0.25497288675935686,0.6947042352069666,0.7011425525670874,0.28931168626061576,0.8193984390748765,0.320717783062933,0.26051653524831225,0.40940204483515946,0.2316249346600783,-0.0,0.00020682000838844836,0,1.0,2,1,1
0.3058887266433515,0.7310008147739532,0.23653862171397538,0.6857186687633862,0.29720010562111565,0.21615413675169284,0.276108065434308,0.49036085847681743,0.3468799843335453,0.9788363460368583,0.02116328997580992,1,1.0,2,0,1
0.32918908260156604,0.51616809045279,1.312041786112256,0.3167218301189476,0.8709323697088325,0.4760558602128984,0.3871770876799363,0.45283007213944065,0.3245688785417483,0.980175305817832,-0.0,0,1.0,2,0,1
0.471894223011052,0.7616914509506724,0.4781110800935789,0.46812318151663285,0.3892755912314171,0.3377972074760982,0.4447927993683714,0.2630888865458386,0.3099881069892797,-0.0,0.10539573184773612,1,1.0,2,1,1
0.44620448699299864,0.0,0.28718223907008583,0.7451394234575769,0.0466252301848416,0.3472814192991604,0.17384645753432712,0.2230207999568585,0.5097564433399975,-0.0,0.2043908502624171,1,1.0,3,1,1
0.30414951819043234,0.5685702304782912,0.4340443813171048,0.2200780705896279,0.4711263719000899,0.3586393088128889,0.17580474377955244,0.44369896213274884,0.19117827189293166,-0.0,0.21397191827824452,1,1.0,1,0,1
0.20642676030497603,0.51616809045279,0.028407319059767094,0.5331095253512618,0.5012672346435998,0.40638242906583805,0.403342419826332,0.3932092589656638,0.2122588136678566,-0.0,0.17375896244810218,1,1.0,2,1,1
0.24028880677457506,0.8823156315807986,1.0817100360932161,0.47600748823052846,0.12608389226081904,0.24402813400181939,0.19637566697551184,0.22974428284769818,0.5015816992625171,-0.0,0.10696279720624287,1,1.0,2,1,1
0.41883543483145685,0.46647115612406365,0.3145205616385827,0.22293868724437677,0.07246686302949389,0.2799267719085509,0.24458154007921906,0.17630101808562137,0.3209093825119756,0.9815544367964179,0.0883740575623434,1,1.0,1,0,1
0.3786458686102837,0.959908138122783,0.8248567756862998,0.5161411429040663,0.5600274283379301,0.3045155871832482,0.35191612393423044,0.45808195154643616,0.3751235701815245,-0.0,0.20271609426976683,0,1.0,2,1,0
0.20879302331804753,1.0427621822589657,0.25668264559823106,0.4349327130077323,0.3477835032331696,0.24292888932231177,0.17522543978274452,0.06344340315906247,0.35805482914761877,0.9788363460368583,0.2615787144222251,1,1.0,2,0,1
0.18437303472546887,0.5871249246369742,0.6697793176921926,0.25765456610696225,0.3409697561908796,0.27719262774355363,0.45303589260943905,0.5227402984426934,0.26420377439485154,-0.0,0.04828030840157839,0,1.0,3,0,1
0.23813559991141905,0.8732158450324944,0.9899767923892558,0.45635746463689475,0.6360160700682445,0.5312951648726364,0.21513901320851972,0.543518201305589,0.32388484077471186,-0.0,8.57779044262854e-05,0,1.0,2,1,1
0.259047388307573,0.5524841194720096,0.5823652757525782,0.7300154855332449,0.5439963472787511,0.45883287329326067,0.21338948868117372,0.347633959582747,0.26614195500508053,-0.0,0.003178483422985523,0,1.0,2,0,1
0.20404411927850136,0.5348324934542317,0.6978888676218319,0.44919040330765053,0.6136985840380732,0.29099057595685196,0.3791083960345621,0.53938262513769,0.3398044612455359,-0.0,0.0018061150313742364,0,1.0,2,1,1
0.471894223011052,0.28676303842967393,1.277535580923267,0.6591697217051549,0.6029555718063134,0.426951524160285,0.23756577502094647,0.6220525311763468,0.3515824209401654,-0.0,0.06724959190082093,1,1.0,2,1,1
0.10578059969736445,0.7834571666853207,0.0,0.539028350530415,0.5173877641016166,0.1617132243952945,0.40864332459725405,0.363390852539633,0.2194253331389934,0.9774119030022003,0.16901575194425558,0,1.0,2,0,1
0.2824366822406878,0.8715373343612948,0.6056998939407396,0.6732472446967764,0.38416084005661305,0.4290841157469811,0.32251686836557886,0.3030109729196696,0.36997660201027366,-0.0,0.18887888731715288,1,1.0,1,1,1
0.2016449346130854,0.44154612023073564,0.9421883241805364,0.7231351011715723,0.46353305233607883,0.5154209042415235,0.3082828423443394,0.46671131996313964,0.20461197292095193,-0.0,0.015087500739024262,0,1.0,2,1,1
0.11196150929896811,0.28676303842967393,0.6488589897231719,0.5972141704243182,0.4750713705747838,0.30420140460602657,0.17678503708388915,0.3037716221784194,0.3304497284718788,-0.0,0.14191857505417593,1,1.0,2,1,0
